AAPL
MSFT
GOOG
AMZN
TSLA
BRK-A
UNH
JNJ
V
META
XOM
WMT
JPM
NVDA
PG
MC
CVX
MA
LLY
HD
BAC
KO
PFE
ABBV
PEP
COST
MRK
TMO
AVGO
DHR
DIS
SHEL
MCD
ORCL
ABT
OR
AZN
CSCO
TMUS
ACN
VZ
NEE
NKE
WFC
UPS
CRM
MS
CMCSA
TXN
BMY
PM
COP
QCOM
LIN
SCHW
ADBE
UNP
CVS
RY
RMS
TTE
RTX
AMD
AMGN
LOW
HSBA
INTC
HON
TD
T
INTU
MDT
AXP
IBM
ELV
SPGI
BX
ULVR
GS
CDI
LMT
PYPL
DE
NFLX
SBUX
SAN
SAP
ADP
DGE
BP.
BLK
CAT
DTE
C
RIO
BATS
CI
VOW
EL
BA
NOW
SO
SYK
ENB
MDLZ
GILD
DUK
SIE
CB
CNR
MMC
REGN
BKNG
MO
AMAT
ABNB
ADI
TJX
TGT
